"Name","Description","DataType","Default","Value","Compliance"
"UserRightsIncreaseSchedulingPriority","Increase scheduling priority","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-90-0"",""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544"",""*S-1-5-90-0""]; Severity=Warning}"
"UserRightsLoadUnloadDeviceDrivers","Load and unload device drivers","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544""]; Severity=Warning}"
"UserRightsLockMemory","Lock pages in memory","String","","","@{Status=Compliant; Reason="""" is equal to """"; Severity=Warning}"
"UserRightsManageAuditingAndSecurityLog","Manage auditing and security log","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544""]; Severity=Critical}"
"UserRightsManageVolume","Perform volume maintenance tasks","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544""]; Severity=Warning}"
"UserRightsModifyFirmwareEnvironment","Modify firmware environment values","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544""]; Severity=Warning}"
"UserRightsModifyObjectLabel","Modify an object label","String","","","@{Status=Compliant; Reason="""" is equal to """"; Severity=Warning}"
"UserRightsProfileSingleProcess","Profile single process","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544""]; Severity=Warning}"
"UserRightsProfileSystemPerformance","Profile system performance","Array","*S-1-5-32-544 *S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420"",""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544"",""*S-1-5-80-3139157870-2983391045-3678747466-658725712-1809340420""]; Severity=Warning}"
"UserRightsRemoteShutdown","Force shutdown from a remote system","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544""]; Severity=Critical}"
"UserRightsReplaceProcessLevelToken","Replace a process level token","Array","*S-1-5-19 *S-1-5-20","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-20"",""*S-1-5-19""] contains the expected values: [""*S-1-5-19"",""*S-1-5-20""]; Severity=Warning}"
"UserRightsRestoreFilesAndDirectories","Restore files and directories","Array","*S-1-5-32-544","System.Object[]","@{Status=NotCompliant; Reason=""*S-1-5-32-551"" is not one of the expected values: [""*S-1-5-32-544""]; Severity=Warning}"
"UserRightsShutDownTheSystem","Shut down the system","Array","*S-1-5-32-544","System.Object[]","@{Status=NotCompliant; Reason=""*S-1-5-32-551"" is not one of the expected values: [""*S-1-5-32-544""]; Severity=Warning}"
"UserRightsTakeOwnership","Take ownership of files or other objects","Array","*S-1-5-32-544","System.Object[]","@{Status=Compliant; Reason=[""*S-1-5-32-544""] contains the expected values: [""*S-1-5-32-544""]; Severity=Critical}"
"VirtualizeFileAndRegistryWriteFailuresToPerUserLocations","User Account Control: Virtualize file and registry write failures to per-user locations","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"WindowsExplorerShellProtocolProtectedModeTitle_2","Turn off shell protocol protected mode","Integer","0",,"@{Status=Compliant; Reason=(null) is equal to (null); Severity=Warning}"
"WindowsHelloAntiSpoofing","Configure enhanced anti-spoofing","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Critical}"
"WindowsLogonAllowAutomaticRestartSignOn","Sign-in last interactive user automatically after a system-initiated restart","Integer","1","1","@{Status=Compliant; Reason=1 is equal to 1; Severity=Critical}"
"WindowsLogonConfigAutomaticRestartSignOn","Sign-in and lock last interactive user automatically after a restart","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"WindowsLogonDisableLockScreenAppNotifications","Turn off app notifications on the lock screen","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"WindowsLogonDontDisplayNetworkSelectionUI","Do not display network selection UI","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Warning}"
"WindowsLogonEnumerateLocalUsersOnDomainJoinedComputers","Enumerate local users on domain-joined computers","Integer","0",,"@{Status=NotCompliant; Reason=(null) is not equal to 0; Severity=Warning}"
"WindowsPowerShellTurnOnPowerShellScriptBlockLogging","Turn on PowerShell Script Block Logging","Integer","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"WinVerityTrustSignatureValidationVulnerabilityMitigation1","WinVerifyTrust Signature Validation vulnerability Mitigation 1","String","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
"WinVerityTrustSignatureValidationVulnerabilityMitigation2","WinVerifyTrust Signature Validation vulnerability Mitigation 2","String","1",,"@{Status=NotCompliant; Reason=(null) is not equal to 1; Severity=Important}"
